"Timestamp","Which car are you driving / Quelle marque de voiture conduisez-vous?","Do you understand most dashboard warning lights /  Comprenez-vous la plupart des voyants du tableau de bord  ?  ","Have you ever seen a warning light you didn’t understand / Avez-vous déjà vu un voyant que vous ne compreniez pas ?  ","What do you usually do when a warning light appears / Que faites-vous généralement lorsqu’un voyant s’allume ?  ","Have you ever noticed unusual sounds from your engine / Avez-vous déjà remarqué des bruits inhabituels provenant de votre moteur ?  ","  If yes, what did you do / Si oui, qu’avez-vous fait ?  ","  How confident are you in identifying engine problems by sound / Quel est votre niveau de confiance pour identifier un problème moteur à partir du son ?  ","What challenges do you face in diagnosing car problems / Quelles difficultés rencontrez-vous pour diagnostiquer les pannes de votre voiture ?","  Would you use a mobile app that helps diagnose car problems / Utiliseriez-vous une application mobile qui aide à diagnostiquer les problèmes de voiture ?  ","Which features would you find most useful / Quelles fonctionnalités vous seraient les plus utiles ? ","How important is offline functionality to you / À quel point le fonctionnement hors ligne est-il important pour vous ?  ","Would you trust an app to give car diagnosis suggestions / Feriez-vous confiance à une application pour proposer un diagnostic automobile ?","What concerns would you have about using such an app / Quelles seraient vos préoccupations concernant l’utilisation d’une telle application ?","What additional features would you like in such an app / Quelles fonctionnalités supplémentaires aimeriez-vous voir dans cette application ?  "
"2026/04/14 11:55:17 pm CET","Toyota Corrola ","Yes / Oui","No / Non","Ask a mechanic / Je consulte un mécanicien","Yes / Oui","Asked a mechanic / J’ai consulté un mécanicien","Very confident / Très confiant","Lack of technical knowledge / Je manque de connaissances techniques","Yes / Oui","Provide repair suggestions / Proposer des solutions de réparation","Important / Impo","Yes / Oui","Accuracy of diagnosis / Précision du diagnostic","Cost estimation on repairs "
"2026/04/16 7:53:53 pm CET","Toyota Corolla 115","Yes / Oui","No / Non","Ask a mechanic / Je consulte un mécanicien","Yes / Oui","Asked a mechanic / J’ai consulté un mécanicien","Very confident / Très confiant","Mechanics are expensive / Les mécaniciens sont coûteux","No / Non","Provide repair suggestions / Proposer des solutions de réparation;Show urgency level of problems / Indiquer le niveau d’urgence du problème;Provide video tutorials / Fournir des tutoriels vidéo","Very important / Tres impoertant","Maybe / Peutetre","Accuracy of diagnosis / Précision du diagnostic;Complexity of the app / Complexité de l’application","Je ne sais pas "
"2026/04/19 8:22:56 am CET","Toyota ","Yes / Oui","Yes / Oui","Search online / Je cherche sur Internet","Yes / Oui","Asked a mechanic / J’ai consulté un mécanicien","Somewhat confident / Moyennement confiant","Lack of technical knowledge / Je manque de connaissances techniques","Yes / Oui","Scan dashboard warning lights / Scanner les voyants du tableau de bord;Analyze engine sounds / Analyser les sons du moteur;Provide repair suggestions / Proposer des solutions de réparation;Show urgency level of problems / Indiquer le niveau d’urgence du problème","Very important / Tres impoertant","Yes / Oui","Accuracy of diagnosis / Précision du diagnostic;Privacy (camera/microphone use) / Confidentialité (caméra/microphone);Complexity of the app / Complexité de l’application;Data usage (internet costs) / Consommation de données Internet","Vivid explanations of car diagnostics "
"2026/04/19 8:23:37 am CET","Toyota Cami","Somewhat / Peuterte","Yes / Oui","Search online / Je cherche sur Internet","Yes / Oui","Asked a mechanic / J’ai consulté un mécanicien","Not confident / Pas confiant du tout","Mechanics are expensive / Les mécaniciens sont coûteux","Yes / Oui","Scan dashboard warning lights / Scanner les voyants du tableau de bord","Important / Impo","Yes / Oui","Accuracy of diagnosis / Précision du diagnostic",""
"2026/04/19 8:40:21 am CET","Benz","Somewhat / Peuterte","Yes / Oui","Ask a mechanic / Je consulte un mécanicien","Yes / Oui","Tried to diagnose it myself / J’ai essayé de diagnostiquer moi-même","Not confident / Pas confiant du tout","Lack of technical knowledge / Je manque de connaissances techniques","Maybe / Peutetre","Scan dashboard warning lights / Scanner les voyants du tableau de bord;Provide repair suggestions / Proposer des solutions de réparation","Important / Impo","Maybe / Peutetre","Accuracy of diagnosis / Précision du diagnostic","…"
"2026/04/19 9:56:19 am CET","Toyota ","Somewhat / Peuterte","Yes / Oui","Search online / Je cherche sur Internet","Yes / Oui","Asked a mechanic / J’ai consulté un mécanicien","Somewhat confident / Moyennement confiant","Don’t understand warning lights / Je ne comprends pas les voyants;Lack of technical knowledge / Je manque de connaissances techniques;Mechanics are expensive / Les mécaniciens sont coûteux;Delay in getting help / Il y a un retard pour obtenir de l’aide;Fear of making wrong decisions / J’ai peur de prendre une mauvaise décision","Yes / Oui","Scan dashboard warning lights / Scanner les voyants du tableau de bord;Analyze engine sounds / Analyser les sons du moteur;Provide repair suggestions / Proposer des solutions de réparation;Show urgency level of problems / Indiquer le niveau d’urgence du problème;Provide video tutorials / Fournir des tutoriels vidéo","Very important / Tres impoertant","Yes / Oui","Accuracy of diagnosis / Précision du diagnostic;Privacy (camera/microphone use) / Confidentialité (caméra/microphone);Complexity of the app / Complexité de l’application;Data usage (internet costs) / Consommation de données Internet","Visual diagnosis with camera and mic"
"2026/04/19 10:25:41 am CET","Toyota Carina e","Yes / Oui","Yes / Oui","Ask a mechanic / Je consulte un mécanicien","Yes / Oui","Asked a mechanic / J’ai consulté un mécanicien","Somewhat confident / Moyennement confiant","Lack of technical knowledge / Je manque de connaissances techniques;Mechanics are expensive / Les mécaniciens sont coûteux;Delay in getting help / Il y a un retard pour obtenir de l’aide","Yes / Oui","Analyze engine sounds / Analyser les sons du moteur;Provide repair suggestions / Proposer des solutions de réparation;Show urgency level of problems / Indiquer le niveau d’urgence du problème","Important / Impo","Yes / Oui","Accuracy of diagnosis / Précision du diagnostic;Complexity of the app / Complexité de l’application","Should be able to show pictures or even videos on fixing problems "
"2026/04/19 10:31:01 am CET","Hyundai Grandeur ","Yes / Oui","Yes / Oui","Search online / Je cherche sur Internet","Yes / Oui","Asked a mechanic / J’ai consulté un mécanicien","Somewhat confident / Moyennement confiant","Mechanics are expensive / Les mécaniciens sont coûteux","Yes / Oui","Analyze engine sounds / Analyser les sons du moteur;Provide repair suggestions / Proposer des solutions de réparation","Important / Impo","Maybe / Peutetre","Privacy (camera/microphone use) / Confidentialité (caméra/microphone)","Reliable"
"2026/04/19 12:52:10 pm CET","None","No / Non","Yes / Oui","Ignore it / Je l’ignore","No / Non","","Not confident / Pas confiant du tout","Don’t understand warning lights / Je ne comprends pas les voyants","Yes / Oui","Provide video tutorials / Fournir des tutoriels vidéo","Important / Impo","Yes / Oui","Accuracy of diagnosis / Précision du diagnostic","Good ux"
"2026/04/19 7:13:16 pm CET","Audi","Yes / Oui","No / Non","Check the car manual /   Je consulte le manuel du véhicule","Yes / Oui","Tried to diagnose it myself / J’ai essayé de diagnostiquer moi-même","Very confident / Très confiant","Mechanics are expensive / Les mécaniciens sont coûteux;Delay in getting help / Il y a un retard pour obtenir de l’aide;Fear of making wrong decisions / J’ai peur de prendre une mauvaise décision","Maybe / Peutetre","Scan dashboard warning lights / Scanner les voyants du tableau de bord;Analyze engine sounds / Analyser les sons du moteur;Provide repair suggestions / Proposer des solutions de réparation;Show urgency level of problems / Indiquer le niveau d’urgence du problème;Provide video tutorials / Fournir des tutoriels vidéo","Very important / Tres impoertant","Maybe / Peutetre","Accuracy of diagnosis / Précision du diagnostic;Privacy (camera/microphone use) / Confidentialité (caméra/microphone);Complexity of the app / Complexité de l’application;Data usage (internet costs) / Consommation de données Internet",""
